rank,album,artist,apple,audiomark,deezer,boom,RT
65,Big Conspiracy,J Hus,32,510,33,520,705.0
66,Simisola,Simi,215,32,450,43,707.75
67,PSYCHODRAMA,Dave,49,510,19,520,708.0
68,Ea$t N We$t,EP - Dremo & Jeriq,125,510,60,57,709.25
69,Culture III,Migos,13,510,58,520,711.0
70,Before the Chaos (-EP),P - Erigga,115,510,89,32,722.0
71,Top,YoungBoy Never Broke Again,78,64,450,520,722.0
72,SoulFly,Rod Wave,35,510,49,520,724.0
73,Welcome to O'Block,King Von,500,34,63,520,727.0
74,The Message,Minister GUC,83,68,450,520,731.0
75,F*CK LOVE 3: OVER YOU,The Kid LAROI,86,510,7,520,733.0
76,KHALED KHALED,DJ Khaled,39,510,57,520,736.0
77,My Turn (Deluxe),Lil Baby,38,510,67,520,745.0
78,SoundMan Vol. 1,StarBoy,42,510,64,520,746.0
79,Love & Light,Joeboy,500,35,207,56,756.0
80,Hollywood's Bleeding,Post Malone,74,510,47,520,761.0
81,We Outside,EP - Tory Lanez,96,510,28,520,764.0
82,I'll Say It For You,Dax,500,33,107,520,770.0
83,Old Church Basement,Elevation Worship & Maverick City Music,29,510,102,520,771.0
84,WUNNA,Gunna,65,128,450,520,773.0
85,7 EP,Lil Nas X,500,65,79,520,774.0
86,Sounds From The Other Side,Wizkid,76,510,59,520,775.0
87,JESUS IS KING,Kanye West,101,510,34,520,775.0
88,The Palmwine Express,Show Dem Camp,92,106,450,520,778.0
89,Zulu Man With Some Power,Nasty C,95,510,43,520,778.0
90,The Gospel of the Kingdom,Dunsin Oyekan,40,510,232,24,788.0
91,Product of My Environment,Abra Cadabra,66,510,84,520,790.0
92,Razor,Cheque,500,39,127,520,796.0
93,While The World Was Burning,SAINt JHN,64,510,93,520,797.0
94,2014 Forest Hills Drive,J. Cole,111,510,46,520,797.0
95,Happier Than Ever,Billie Eilish,84,510,76,520,800.0
96,ASTROWORLD,Travis Scott,44,510,118,520,802.0
97,Too Late Too Lit,KDDO,89,133,450,520,802.0
98,JORDI (Deluxe),Maroon 5,116,510,154,92,803.0
99,All Over The Place (Platinum VIP Edition),KSI,136,510,29,520,805.0
100,Meet The Woo 2,Pop Smoke,56,510,109,520,805.0
101,Herstory in the Making,Young M.A,500,72,103,520,805.0
102,Tribl I,Tribl & Maverick City Music,81,510,86,520,807.0
103,Destined 2 Win,Lil Tjay,114,510,54,520,808.0
104,I Love Girls With Trobul,Sarz & WurlD,142,90,450,520,812.0
105,Happy Birthday Kodak,Kodak Black,500,63,124,520,817.0
106,2 in 1,DARKOO,103,510,80,520,823.0
107,Life of Betrayal 2x,Yungeen Ace,500,25,169,520,824.0
108,F*CK LOVE 3+: OVER YOU,The Kid LAROI,152,510,32,520,824.0
109,Scorpion,Drake,97,510,92,520,829.0
110,Therapy,Anne-Marie,183,510,8,520,831.0
111,Just Cause Y'all Waited 2 (Deluxe),Lil Durk,71,510,125,520,836.0
112,Goodbye & Good Riddance,Juice WRLD,77,510,119,520,836.0
113,After Hours,The Weeknd,45,510,157,520,842.0
114,The Human Condition,Jon Bellion,151,510,53,520,844.0
115,Asa (Asha),Asa,146,510,61,520,847.0
116,Hot Pink,Doja Cat,500,50,171,520,851.0
117,RESTLESS II,Simi,500,123,98,520,851.0
118,Strings And Bling,Nasty C,141,510,73,520,854.0
119,?,XXXTENTACION,170,510,44,520,854.0
120,THE ANGEL YOU DON'T KNOW,Amaarae,85,510,133,520,858.0
121,East Atlanta Love Letter,6LACK,68,510,152,520,860.0
122,Ignorance is Bliss,Skepta,137,510,83,520,860.0
123,Shiesty Season,Spring Deluxe - Pooh Shiesty,214,67,450,520,861.0
124,Hood Boy Dreams,EP - Jeriq,127,510,95,520,862.0
125,So Much Fun,Young Thug,197,93,450,520,870.0
126,DAMN.,Kendrick Lamar,139,510,94,520,873.0
127,Free Dem Boyz,42 Dugg,164,510,72,520,876.0
128,Die A Legend,Polo G,90,510,147,520,877.0
129,CITIZEN OF THE WORLD,King Perryy,173,125,450,520,878.0
130,TEMPORARY HIGHS IN THE VIOLET SKIES,Snoh Aalegra,150,510,90,520,880.0
131,The King Is Coming,Nathaniel Bassey,109,510,258,34,885.5
132,Common Sense,J Hus,133,510,114,520,887.0
133,All In,EP - Skepta,175,510,77,520,892.0
134,Heavy Is The Head,Stormzy,163,510,91,520,894.0
135,No Love Lost (Deluxe),Blxst,94,510,172,520,906.0
136,Budweiser (Remix),Various Artists,155,510,111,520,906.0
137,Hallelujah Again (Revelation 19:3),Nathaniel Bassey,63,510,332,19,909.75
138,Zero Panic,EP - Balloranking,123,510,256,84,910.0
139,The Mayor of Lagos,Mayorkun,500,167,122,520,919.0
140,Masta Groove,Masterkraft,500,88,203,520,921.0
141,The Life Of Pablo,Kanye West,104,510,180,520,924.0
142,T R A P S O U L (Deluxe),Bryson Tiller,236,109,450,520,925.0
143,Adolescence,Unknown T,148,510,143,520,931.0
