rank,song,artist,apple,boom,spotify,audiomack,deezer,youtube,RT
198,You I Live For,Moses Bliss,375,49,350,450,300,325,308.1666666666667
199,Rest On Kashy,Anonymous Music,375,420,350,81,300,325,308.5
200,Lole,Kendickson,375,53,350,450,300,325,308.8333333333333
201,6AM,Blaq Jerzee,375,54,350,450,300,325,309.0
202,Amope,Bella Shmurda,375,420,350,84,300,325,309.0
203,Currently,Kizz Daniel,375,420,350,85,300,325,309.1666666666667
204,Many Nites,Erigga,375,55,350,450,300,325,309.1666666666667
205,Makaveli,Kida Kudz,375,420,350,86,300,325,309.3333333333333
206,Too Faithful,Moses Bliss,375,56,350,450,300,325,309.3333333333333
207,Check Yourself,Kaptain,375,57,350,450,300,325,309.5
208,Hallelujah Challenge Praise Medley,Nathaniel Bassey,375,58,350,450,300,325,309.6666666666667
209,Your Body,Mayorkun,375,420,350,88,300,325,309.6666666666667
210,God Sent,Seyi Vibez,375,420,350,89,300,325,309.8333333333333
211,Dangbana Orisa,Bella Shmurda,375,420,350,91,300,325,310.1666666666667
212,FEM,Davido,375,420,350,92,300,325,310.3333333333333
213,Cultural Praise,Kcee & Okwesili Eze Group,375,420,350,96,300,325,311.0
214,Celebration,Joeboy,375,420,350,98,300,325,311.3333333333333
215,All Love,Lil Durk,375,420,350,99,300,325,311.5
216,Sugar Daddy ft. Olamide,Dj Enimoney,375,70,350,450,300,325,311.6666666666667
217,AVAILABLE,C Blvck,375,420,350,100,300,325,311.6666666666667
218,Ponmo,Mohbad,375,420,350,101,300,325,311.8333333333333
219,3 Headed Goat,Lil Durk,375,420,350,105,300,325,312.5
220,MOSLADO,Teni,375,420,350,108,300,325,313.0
221,Aye,Naira Marley,375,78,350,450,300,325,313.0
222,Wonderful,Burna Boy,375,420,350,109,300,325,313.1666666666667
223,Mandeman,Small Doctor,375,420,350,110,300,325,313.3333333333333
224,Off You ft. KiDi,Young Jonn,375,80,350,450,300,325,313.3333333333333
225,Baba Fela (Remix) ft. Laycon & Zlatan,Mr Real,375,81,350,450,300,325,313.5
226,The Box,Roddy Ricch,375,420,350,113,300,325,313.8333333333333
227,Coachella ft. Kwesi Arthur,Sarkodie,375,83,350,450,300,325,313.8333333333333
228,Lenu (Remix),Buju,375,420,350,114,300,325,314.0
229,Egbon,Masterkraft,375,420,350,115,300,325,314.1666666666667
